time_fs,S0,S1,S2,S3,T1_m-1,T2_m-1,T3_m-1,T1_m0,T2_m0,T3_m0,T1_m+1,T2_m+1,T3_m+1
31.0,1.2871238318090576e-05,0.9590317177622639,0.04091531349008275,3.4486734789512074e-05,3.679709046997345e-08,3.0485214197115034e-06,1.0299195519168291e-09,3.0841344237903684e-08,5.1941188146541e-08,1.2536744823490773e-09,4.8762183199409356e-08,2.3904550406617803e-06,1.1726742800360434e-09
31.5,7.76642431691457e-05,0.9824267984724235,0.01748992583330778,3.91918274687387e-07,6.693608761728246e-08,2.949524988049972e-06,3.1449673220284204e-09,2.2005135135149855e-08,3.310816505928158e-08,1.955509571147555e-09,6.580246121605545e-08,2.0735437353114147e-06,3.5119469869775942e-09
32.0,4.8421149377459827e-05,0.9905993252036791,0.009221203220119776,0.0001277797771465239,5.722281459632774e-08,2.035913605472956e-06,3.723049994599039e-09,1.078450345015432e-08,2.462066631310205e-08,5.226815080595325e-09,4.369986946809516e-08,1.0851962170044475e-06,4.2619272568108384e-09
32.5,4.2965439317101814e-05,0.9967658092530918,0.0029912173920016074,0.00019882418678627002,3.911361900882718e-08,7.662900528290568e-07,2.119279871060681e-09,1.3895255728778768e-08,2.1776009109196578e-08,1.2480897905196471e-08,3.4316381760633224e-08,2.913907775354029e-07,2.3464818939531424e-09
33.0,1.018095954646652e-05,0.999665575166595,0.0002603788198528098,6.35714627253198e-05,4.1456632693361114e-08,5.233850096338465e-08,2.1778296598015133e-09,2.736655715254098e-08,9.980454660349936e-09,2.040436159033938e-08,4.0014137127320465e-08,9.736899622248096e-08,2.483689158692691e-09
33.5,3.846627616524406e-05,0.9994248899416297,0.0004937661443433284,4.2305912947168813e-05,4.1009538426298414e-08,1.621120070996853e-07,1.4791808062251757e-09,3.584041746924018e-08,5.195749014554812e-09,2.8199376541398218e-08,3.598194265473157e-08,2.5899056087264006e-07,2.916134913043818e-09
34.0,4.8759698541999145e-05,0.9995863623116393,0.00034169138429894074,2.2351091754173327e-05,3.561533720139211e-08,3.41160848699661e-07,1.0095042304363976e-09,5.2982681053360104e-08,8.817920607043239e-09,3.293425681651019e-08,3.099476835710451e-08,3.305355253780131e-07,1.4630300709522503e-09
34.5,6.824552384102323e-05,0.9998718276128338,5.3403065218158094e-05,5.966750033832886e-06,3.313875688338134e-08,1.6380993001939067e-07,1.712652146342267e-08,7.683225729561584e-08,1.3280364559453945e-08,2.694647093636321e-08,2.9293036980095005e-08,1.815615196818325e-07,1.5059144712496096e-08
35.0,0.00011549578030850378,0.9998490432277143,4.367564347529748e-06,3.0682024275666596e-05,3.136496042010624e-08,3.5516278309272575e-08,6.172341230418829e-08,1.0946419106627867e-07,2.993058874225454e-08,4.486347319725893e-09,2.7726189275992617e-08,4.295106595221242e-08,6.824031020116709e-08
35.5,0.00023978411442203212,0.9997095392584557,3.762497410563409e-05,1.2592462084821721e-05,3.2356696088441336e-08,1.6414382154874733e-08,8.794074382033942e-08,1.6246393521689122e-07,2.9233175816529194e-08,2.9622013922205e-10,2.880856765769946e-08,1.5838227839685888e-08,8.583915889382764e-08
36.0,0.00011787414000808714,0.9995336266563725,0.00034022927310538547,7.5067718709223635e-06,5.9163284525565305e-08,7.321646047393463e-09,6.778608292102095e-08,4.866911044320002e-07,6.0393425931730455e-09,1.149754893964857e-10,5.6934682497859e-08,8.87169802599429e-09,7.023578993688331e-08
36.5,0.010998620500161354,0.9889777235358174,1.8894238097019523e-05,3.3553547956895764e-06,1.0580022682844889e-07,4.134866386177099e-09,6.929862596334519e-08,1.0655163994882036e-06,6.404673256573838e-09,2.8017384775352603e-11,9.405479565293221e-08,3.855486978753637e-09,5.727810043875076e-08
37.0,0.043815653909480556,0.9561704214920083,1.1752503920168882e-05,3.2586203081467146e-07,1.305405563986832e-07,7.261999024952097e-10,7.045157625042574e-08,1.4915630615091813e-06,4.446058689070784e-09,4.5836478860197113e-10,1.0609026978682267e-07,6.288425589545706e-10,4.132765571522466e-08
37.5,0.049538841520034745,0.9503549664997573,0.00010448180325514551,6.569694403987387e-09,1.0802147585108227e-07,4.719500480066093e-10,5.496182602273382e-08,1.4233681561787404e-06,7.097056394832978e-10,3.785810712704801e-09,8.687562021662283e-08,2.6717867835469735e-10,2.514525957306711e-08
38.0,0.018304075206390793,0.9811334819126849,0.0005614469336527817,1.4033892248336304e-07,4.566900230784642e-08,1.4435250652702055e-09,8.83724320262886e-09,7.372374152113813e-07,4.6466528908233836e-09,9.377903073790706e-09,4.1627332101247184e-08,1.0411257983669836e-09,5.728178936111703e-09
